facility_id,facility_name,state,rating,recommend_percent,completed_surveys,recommend_quintile
451367,"UT HEALTH EAST TEXAS PITTSBURG HOSPITAL",TX,2,85.00,112,5
180128,"THREE RIVERS MEDICAL CENTER",KY,2,84.00,134,5
670023,"METHODIST MANSFIELD MEDICAL CENTER",TX,2,83.00,915,5
450876,"LUBBOCK HEART HOSPITAL LP",TX,2,83.00,470,5
141320,"PARIS COMMUNITY HOSPITAL",IL,2,83.00,111,5
190102,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",LA,2,82.00,616,5
161353,"KOSSUTH REGIONAL HEALTH CENTER",IA,2,82.00,118,5
010045,"FAYETTE MEDICAL CENTER",AL,2,82.00,141,5
341318,"VIDANT CHOWAN HOSPITAL",NC,2,81.00,203,5
271317,"LIVINGSTON HEALTHCARE",MT,1,80.00,155,5
171380,"NEOSHO MEMORIAL REGIONAL MEDICAL CENTER",KS,2,80.00,184,5
530025,"IVINSON MEMORIAL HOSPITAL",WY,2,80.00,284,5
450853,"BAYLOR SCOTT & WHITE MEDICAL CENTER - FRISCO",TX,2,80.00,285,5
33024F,"SYRACUSE VA MEDICAL CENTER",NY,2,79.00,417,5
450104,"GUADALUPE REGIONAL MEDICAL CENTER",TX,2,79.00,312,5
040118,"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",AR,2,79.00,766,5
120028,"NORTH HAWAII COMMUNITY HOSPITAL, INC",HI,2,79.00,196,5
160101,"BROADLAWNS MEDICAL CENTER",IA,2,79.00,245,5
160124,"LAKES REGIONAL HEALTHCARE",IA,2,79.00,240,5
281322,"ST FRANCIS MEMORIAL HOSPITAL",NE,2,79.00,104,5
301302,"LITTLETON REGIONAL HEALTHCARE",NH,2,79.00,211,5
450231,"BSA HOSPITAL",TX,2,78.00,779,5
170197,"KANSAS MEDICAL CENTER LLC",KS,2,78.00,422,5
050492,"CLOVIS COMMUNITY MEDICAL CENTER",CA,2,78.00,740,5
010019,"HELEN KELLER HOSPITAL",AL,2,77.00,357,5
380056,"SANTIAM HOSPITAL & CLINICS",OR,2,77.00,199,5
301309,"MONADNOCK COMMUNITY HOSPITAL",NH,2,77.00,214,5
300012,"ELLIOT HOSPITAL",NH,2,77.00,474,5
260183,"SAINT FRANCIS MEDICAL CENTER",MO,2,77.00,550,5
161379,"MAHASKA  HEALTH PARTNERSHIP",IA,2,77.00,207,5
161371,WINNMED,IA,2,77.00,222,5
110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",GA,2,77.00,381,5
110015,"TANNER MEDICAL CENTER VILLA RICA",GA,2,77.00,388,5
010039,"HUNTSVILLE HOSPITAL",AL,2,77.00,1193,5
510001,"WEST VIRGINIA UNIVERSITY HOSPITALS, INC",WV,2,76.00,947,5
40003F,"SAN JUAN VA MEDICAL CENTER",PR,2,76.00,452,5
